path,loc,summary,n_defs,n_classes,fan_out,imports_internal,fan_in,imported_by,cli_verbs,n_tests,test_refs,shell_refs,orphan
mamey/__main__.py,10,Allow `python -m mamey` invocation.,0,0,1,cli,0,,,82,test_409_concurrency_atomic.py;test_409_mibig_comparator_fixes.py;test_409_phylo_run_qc.py;test_409_post_seal_checksums.py,,False
mamey/_gbk_shim.py,164,Minimal GenBank parser shim — replaces Biopython SeqIO for antiSMASH region GBKs.,6,4,0,,18,mamey/antismash_evidence.py;mamey/parsers.py;tools/bgc_figures.py;tools/bgc_reference_align.py;tools/bigscape_blastp_novelty.py;tools/cluster_alignment.py,,6,test_bigscape_blastp_novelty_v9_7_391.py;test_cli_parser_no_biopython_v9_7_268.py;test_gbk_shim.py;test_gbk_shim_lint_e2.py,,False
mamey/activity_lead_genes.py,390,Gene-level biosynthetic foundations for activity-lead routing boards.,12,0,0,,1,mamey/cli.py,activity-lead-genes,2,test_activity_lead_genes_v9_7_385.py;test_render_activity_lead_reports_v97405.py,,False
mamey/activity_lead_report.py,408,Per-strain antibacterial/antifungal activity-lead routing report.,15,0,1,cohort_leads_ledger,1,mamey/cli.py,,3,test_activity_lead_report_v9_7_385.py;test_laptop_candidates_v97409.py;test_render_activity_lead_reports_v97405.py,,False
mamey/activity_predictions.py,291,External activity-prediction channel — validator + adapter registry (v9.7.348).,9,0,0,,0,,,2,test_activity_fragment_gate.py;test_activity_predictions.py,,False
mamey/adjudication.py,47,adjudication.py — apply the curated adjudication overlay on top of the MIBiG reference base.,3,0,0,,1,tools/fragment_concordance_scorer.py,,11,test_adjudication.py;test_fragment_concordance.py;test_ks_phylogeny.py;test_modeb_class_conflict.py,,False
mamey/af_dossier.py,543,"mamey af-dossier — the Antifungal (AF) Lead Dossier, a cohort deliverable.",19,0,1,console,1,mamey/cli.py,af-dossier,2,test_af_dossier.py;test_lead_board_v9745_axis_boards.py,,False
mamey/antimicrobial_recall.py,147,Antimicrobial recall layer (v9.7.120) — boost-only compound-anchor AB/AF capacity.,3,0,0,,1,mamey/scoring.py,,2,test_antimicrobial_recall_v9_7_121.py;test_concordance.py,,False
mamey/antismash_evidence.py,1486,,34,0,4,_gbk_shim;fragment_ceiling;parsers;ziputil,11,mamey/antismash_tables.py;mamey/chatgpt_commands.py;mamey/cli.py;mamey/clusterblast_genes.py;mamey/mibig_per_gene.py;mamey/parsers.py,,17,test_build_bgc_markers_tigrfam_panel_bc2_398.py;test_efls_pair_count_not_capped_list_v97396.py;test_evidence_macos_cruft.py;test_kcb_rank1_and_source_precedence_v97405.py,,False
mamey/antismash_input.py,359,antismash_input.py — recognise an antiSMASH result archive regardless of how it was named.,14,1,1,ziputil,2,mamey/cli.py;mamey/strain_identity.py,,3,test_409_robustness_caps.py;test_antismash_input_recognition.py;test_zip_nonregular_member_intake_v97401.py,,False
